564;3415; ПЕДИАТРИЧЕСКОЕ ОТДЕЛЕНИЕ №1 САНКТ-ПЕТЕРБУРГСКАЯ ГОСУДАРСТВЕННАЯ ПЕДИАТРИЧЕСКАЯ МЕДИЦИНСКАЯ АКАДЕМИЯ; (812) 416-53-01, +7 (812) 295-47-72;http://klinika.gpma.ru;"диагностика и лечение; лечение нефрологических заболеваний; "
2;11820;"""UNIDENT"" СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА";(812) 269-96-23, 269-02-63;www.unident-spb.ru;"лечение стоматологических заболеваний; "
3;47056;"""АБА"" ООО";(812) 542-13-46;www.aba-clinic.ru;"лечение стоматологических заболеваний; мануальная терапия"
4;21390;"""АВА-ПЕТЕР"" ООО";(812) 336-30-65, 600-77-77;www.avapeter.ru;"многопрофильное медицинское обслуживание; "
5;11803;"""АВЕРС"" ООО";+7 (812) 364-43-43 +7 (921) 589-99-22;www.medicor.ru;"лечение стоматологических заболеваний; "
6;4955;"""АВИЦЕННА"" ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ООО)";(812) 476-67-94, 465-81-42;avicenna-pushkin.ru;"многопрофильное медицинское обслуживание; "
7;1630;"""АВРОРА"" ДЕТСКИЙ САНАТОРИЙ";(812) 311-40-70, 311-27-37;sanavrora.ru;"санаторно-курортное обслуживание; "
10;11796;"""АЛЬЯНС КП"" КЛИНИКА (ООО)";"(812) 248-99-96, 777-63-02; (921) 913-09-43";www.stomalyans.ru;"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; "
21;23489;"""АНИМА"" СПЕЦИАЛИЗИРОВАННАЯ КЛИНИКА (АССОЦИАЦИЯ СПЕЦИАЛИСТОВ по НЕТРАДИЦИОННЫМ МЕТОДАМ ПСИХОТЕРАПИИ)";(812) 371-98-84, (812) 371-85-26;www.animapsy.ru;психологическая помощь
23;47062;"""АПОЛЛОНИЯ ДЕНТАЛ КЛИНИК"" ООО";(812) 230-29-68;apollonia.ru;"лечение стоматологических заболеваний; "
24;4856;"""АРКАДИЯ"" КЛИНИКА (ООО)";(812) 713-21-43, 764-92-66, 355-96-88;www.aklinika.ru;"лечение стоматологических заболеваний; протезирование зубов; "
25;11768;"""АРКАДИЯ"" КЛИНИКА (ООО)";(812) 764-92-66, 355-96-88;www.aklinika.ru;"лечение стоматологических заболеваний; протезирование зубов; "
26;1631;"""БЕЛЫЕ НОЧИ"" ОБЩЕОЗДОРОВИТЕЛЬНЫЙ САНАТОРИЙ";(812) 437-31-93, 437-21-36;www.white-nights.ru;"санаторно-курортное обслуживание; "
27;;"""БЕРЕЗКА"" ДЕТСКИЙ САНАТОРИЙ";(81371) 9-22-12;sankezevo@zdrav.spb.ru;"санаторно-курортное обслуживание; "
28;994;"""БИОСВЯЗЬ"" ЦЕНТР ВОССТАНОВИТЕЛЬНОЙ МЕДИЦИНЫ и РЕАБИЛИТАЦИИ №3";(812) 596-49-27, 290-00-71;sel@white-nights.ru;"санаторно-курортное обслуживание; "
32;5185;"""ВЕРОНИКА"" КЛИНИКА (ООО) Васильевский о-в, Средний пр., 48/27";(812) 430-73-30, 777-77-09;www.veronika.ru;"лечение стоматологических заболеваний; "
33;11772;"""ВЕРОНИКА"" КЛИНИКА (ООО) ул. Савушкина, 8, корп. 2";(812) 777-77-09;www.veronika.ru;"лечение стоматологических заболеваний; "
34;11774;"""ВИТА ДЕНТ"" ФИРМА (ООО)";(812) 498-19-34, 233-08-59;www.vita-dent.spb.ru;"лечение стоматологических заболеваний; протезирование зубов; "
35;1614;"""ВИТА"" МЕДИЦИНСКИЙ ЦЕНТР С.П.СЕМЕНОВА (ООО)";(812) 645-90-01, 315-26-20;www.mcvita.spb.ru;"лечение алкоголизма; лечение психологических зависимостей; "
36;4964;"""ВИТА"" СТОМАТОЛОГИЧЕСКИЙ УЧЕБНО-ПРАКТИЧЕСКИЙ ЦЕНТР";(812) 786-89-09;vita-center@mail.ru;"лечение стоматологических заболеваний; "
37;;"""ВИТА-ДЕНТ"" ООО";(81371) 3-07-03;http://vita-d.ru;"лечение стоматологических заболеваний; протезирование зубов; "
41;21387;"""ВОЗВРАЩЕНИЕ"" ИНСТИТУТ МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ";(812) 371-48-46, 371-08-90;www.medrehab.narod.ru;"исследования и разработки новых методов лечения; реабилитационное лечение; "
47;1633;"""ВОСХОД"" ДЕТСКИЙ САНАТОРИЙ";(812) 433-37-87, 433-42-37;;"санаторно-курортное обслуживание; санаторное лечение нефрологических заболеваний; санаторное лечение кожных заболеваний; "
50;11775;"""ВЫБОР"" ФИРМА (ЗАО)";(812) 555-41-30, 496-05-61, 590-27-68;;"лечение стоматологических заболеваний; протезирование зубов; "
51;;"""ВЫБОРГ-3"" ТУБЕРКУЛЕЗНЫЙ САНАТОРИЙ";(81378) 7-80-40, 7-80-32;http://vyborg-3.com/;"санаторное лечение туберкулеза; "
61;24708;"""ГЕЛИОС ОТЕЛЬ"" ПАНСИОНАТ с ЛЕЧЕНИЕМ (ООО)";(812) 702-26-26;http://gelios-otel.ru;"санаторно-курортное обслуживание; лечебно-оздоровительные мероприятия; "
229;4827;"""ДАНТИСТ"" СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА (ООО)"; (812) 227-71-16 ;http://www.spb-dantist.ru;"лечение стоматологических заболеваний; протезирование зубов; "
230;42134;"""ДЕЗДЕЛО"" ООО";"(812) 708-37-25 ;+7-921-747-00-60";http://dezdelo.net;"дезинфекция; "
