"Номер анкеты";"Форма собственности";"Название предприятия";"Подчиненность вышестоящей организации";"Представительство страны";"Почтовый адрес";"Руководитель";"Телефон";"Факс";"E_Mail";"Адрес INTERNET";"Год основания";"Количество койко-мест";"Почтовый индекс";"Дополнительные услуги и продукция";"Основная продукция и услуги";"Направление деятельности"
"0011820";"частная";"""UNIDENT"" СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА";"ООО ""SIMAM""";"";"192236, Россия, г. Санкт-Петербург, ул. Софийская, 14";"Андреев Евгений Александрович";"(812) 269-96-23, 269-02-63";"";"";"";"1995";"";"192236";"";"лечение стоматологических заболеваний; ";""
"0047056";"частная";"""АБА"" ООО";"";"";"195009, Россия, г. Санкт-Петербург, ул. Комсомола, 14, лит. А";"";"(812) 542-13-46";"(812) 542-69-61";"aba-clinic@mail.ru";"www.aba-clinic.ru";"";"";"195009";"";"лечение стоматологических заболеваний; ";""
"0011821";"частная";"""АБА-КЛИНИКА"" ООО";"";"";"195220, Россия, г. Санкт-Петербург, Гражданский просп., 36, лит. А, офис 20Н";"";"(812) 290-97-70";"(812) 290-97-70";"aba-clinic@mail.ru";"www.aba-clinic.ru";"";"";"195220";"";"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; ";""
"0021390";"частная";"""АВА-ПЕТЕР"" ООО";"";"";"191186, Россия, г. Санкт-Петербург, Невский просп., 22/24, офис 50Н";"Михайлик Глеб Владимирович";"(812) 336-30-65, 600-77-77";"(812) 336-30-61";"info@avaclinic.ru";"www.avapeter.ru";"1995";"";"191186";"";"многопрофильное медицинское обслуживание; ";""
"0011803";"частная";"""АВЕРС"" ООО";"";"";"196191, Россия, г. Санкт-Петербург, Ленинский просп., 168";"Лящук Александр Дмитриевич";"(812) 370-46-01";"(812) 370-46-01";"mail@medicor.spb.ru";"www.medicor.ru";"1988";"";"196191";"";"лечение стоматологических заболеваний; ";""
"0038557";"частная";"""АВИВАК"" НПП (ООО)";"";"";"188502, Россия, Ленинградская обл., Ломоносовский р-н, д. Горбунки";"Смелов Ярослав Николаевич";"(812) 346-58-53, 346-58-54";"(812) 703-11-52";"avivak@sovintel.ru";"";"1992";"";"188502";"производственная деятельность: тест-системы и биопрепараты для профилактики инфекционных болезней птиц; ";"ветеринарные услуги; ";""
"0027881";"частная";"""АВИЦЕННА"" КОНСУЛЬТАЦИОННЫЙ ЦЕНТР (ООО)";"";"";"188800, Россия, Ленинградская обл., г. Выборг, бул. Кутузова, 9";"Левдикова Татьяна Евгеньевна";"(81378) 2-63-42";"";"";"";"";"";"188800";"";"многопрофильное медицинское обслуживание; ";""
"0004955";"частная";"""АВИЦЕННА"" ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"196608, Россия, г. Санкт-Петербург, Пушкин, ул. Оранжерейная, 64";"Елескина Надежда Васильевна";"(812) 476-67-94, 465-81-42";"(812) 476-67-94";"";"";"1980";"";"196608";"";"многопрофильное медицинское обслуживание; ";""
"0001630";"государственная";"""АВРОРА"" ДЕТСКИЙ САНАТОРИЙ";"";"";"197760, Россия, г. Санкт-Петербург, Кронштадт, Цитадельское шоссе, 30";"Ни Владимир Константинович";"(812) 311-40-70, 311-27-37";"(812) 311-40-70";"";"";"1960";"50";"197760";"";"санаторно-курортное обслуживание; ";""
"0004575";"частная";"""АКНЕАС"" ФЛЕБОЛОГИЧЕСКИЙ ЦЕНТР (ЗАО)";"";"";"197022, Россия, г. Санкт-Петербург, ул. Академика Павлова, 5";"Автомова Светлана Викторовна";"(812) 496-01-10, 970-47-47";"(812) 496-01-10";"medckorvet@mail.ru";"www.angelcentr.ru";"1992";"";"197022";"";"лечение варикозного расширения вен; лечение тромбофлебитов и тромбозов; ";""
"0005171";"государственная";"АКУШЕРСКИЙ ГЕМАТОЛОГИЧЕСКИЙ ЦЕНТР";"РОДИЛЬНЫЙ ДОМ №6 им. В.Ф.СНЕГИРЕВА";"";"191014, Россия, г. Санкт-Петербург, ул. Маяковского, 5";"Гайдукова Ирина Рэмовна";"(812) 273-69-04, 273-54-93, 273-58-34";"(812) 273-54-93";"roddom6@zdrav.spb.ru";"";"1760";"";"191014";"";"акушерско-медицинское обслуживание; ";""
