"Номер анкеты";"Форма собственности";"Название предприятия";"Подчиненность вышестоящей организации";"Представительство страны";"Почтовый адрес";"Руководитель";"Телефон";"Факс";"E_Mail";"Адрес INTERNET";"Год основания";"Количество койко-мест";"Почтовый индекс";"Дополнительные услуги и продукция";"Основная продукция и услуги";"Направление деятельности"
"0028433";"информация не предоставлена";"""DENTAL ОПТИМА"" КЛИНИКА ЭСТЕТИЧЕСКОЙ СТОМАТОЛОГИИ";"";"";"236000, Россия, г. Калининград, просп. Мира, 27";"";"(4012) 35-27-60";"";"";"";"";"";"236000";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0036827";"частная";"""DENTES"" СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"180024, Россия, г. Псков, ул. Юбилейная, 62";"";"(8112) 15-56-06";"(8112) 15-56-06";"";"";"";"";"180024";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0037045";"частная";"""DENTIS"" СТОМАТОЛОГИЧЕСКАЯ ФИРМА (ООО)";"";"";"236039, Россия, г. Калининград, ул. Ольштынская, 66";"Базиленко Владимир Александрович";"(4012) 63-16-16, 65-53-68";"(4012) 63-16-16";"";"";"1999";"";"236039";"";"лечение стоматологических заболеваний; ";""
"0037231";"информация не предоставлена";"""NLP"" МЕДИЦИНСКИЙ ЦЕНТР";"";"";"236000, Россия, г. Калининград, ул. Генделя, 6, офис 43";"";"(4012) 53-89-38";"";"";"";"";"";"236000";"";"медицинское обслуживание; ";""
"0037154";"частная";"""TESCLASSCLINIC"" ЦЕНТР ИЗРАИЛЬСКОЙ МЕДИЦИНЫ (ООО)";"";"";"236016, Россия, г. Калининград, ул. Партизана Железняка, 1";"Кравченок Андрей Станиславович";"(4012) 77-78-00";"(4012) 77-78-00";"s-class_clinic@mail.ru";"www.class-clinic.com";"2009";"";"236016";"";"многопрофильное медицинское обслуживание; ";""
"0011820";"частная";"""UNIDENT"" СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА";"ООО ""SIMAM""";"";"192236, Россия, г. Санкт-Петербург, ул. Софийская, 14";"Андреев Евгений Александрович";"(812) 269-96-23, 269-02-63";"";"";"";"1995";"";"192236";"";"лечение стоматологических заболеваний; ";""
"0047056";"частная";"""АБА"" ООО";"";"";"195009, Россия, г. Санкт-Петербург, ул. Комсомола, 14, лит. А";"";"(812) 542-13-46";"(812) 542-69-61";"aba-clinic@mail.ru";"www.aba-clinic.ru";"";"";"195009";"";"лечение стоматологических заболеваний; ";""
"0011821";"частная";"""АБА-КЛИНИКА"" ООО";"";"";"195220, Россия, г. Санкт-Петербург, Гражданский просп., 36, лит. А, офис 20Н";"";"(812) 290-97-70";"(812) 290-97-70";"aba-clinic@mail.ru";"www.aba-clinic.ru";"";"";"195220";"";"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; ";""
"0021390";"частная";"""АВА-ПЕТЕР"" ООО";"";"";"191186, Россия, г. Санкт-Петербург, Невский просп., 22/24, офис 50Н";"Михайлик Глеб Владимирович";"(812) 336-30-65, 600-77-77";"(812) 336-30-61";"info@avaclinic.ru";"www.avapeter.ru";"1995";"";"191186";"";"многопрофильное медицинское обслуживание; ";""
"0042050";"частная";"""АВА-ПЕТЕР"" ООО";"";"";"160035, Россия, г. Вологда, ул. Предтеченская, 65";"Короткова Инна Викторовна";"(8172) 78-78-00";"(8172) 75-03-36";"korotkova-iv@avaclinic.ru";"www.avapeter.ru";"";"";"160035";"";"многопрофильное медицинское обслуживание; ";""
"0000002";"смешанная";"""АВЕРИС"" СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА (ООО)";"";"";"236029, Россия, г. Калининград, ул. Генерала Озерова, 24-а";"";"(4012) 99-14-19, 27-57-73";"";"";"";"";"";"236029";"";"диагностика и лечение; лечение стоматологических заболеваний; ";""
